neighborhood,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,age,has_garage,has_basement,has_renovation,distance_to_downtown_km,walk_score,latitude,longitude,price
Fairview,House,5,2,4500,6268,1971,54,1,1,0,4.6,63,49.278,-123.1263,2162000
Marpole,Townhouse,3,1,1118,1920,2024,1,1,0,0,7.7,59,49.2108,-123.1278,830000
Killarney,Condo,1,1,752,0,1996,29,0,1,1,12.0,37,49.231,-123.0406,417000
Shaughnessy,House,3,2,3684,3606,2012,13,1,0,0,4.7,61,49.2457,-123.1338,2924000
Marpole,Townhouse,2,2,1305,1832,1980,45,0,0,0,8.5,53,49.2091,-123.1345,715000
Riley Park,Townhouse,3,2,1788,1822,1938,87,1,0,1,7.0,55,49.2488,-123.0995,1014000
Renfrew,House,5,3,2627,5342,2012,13,1,1,0,9.6,47,49.251,-123.0436,1425000
Kerrisdale,Townhouse,2,1,1843,2476,1988,37,1,0,1,9.4,54,49.2318,-123.1487,1255000
Gastown,Townhouse,2,2,1373,1766,1960,65,0,0,1,0.5,95,49.2785,-123.1026,855000
Renfrew,House,4,3,1835,6782,1921,104,1,1,0,11.0,51,49.2555,-123.0484,1108000
Gastown,Condo,1,1,1147,0,1993,32,1,0,0,0.5,100,49.2861,-123.1054,708000
Renfrew,Condo,2,1,1220,0,2008,17,0,0,1,9.5,39,49.2498,-123.034,582000
West End,Condo,1,1,1359,0,2002,23,1,0,0,1.3,80,49.2802,-123.1376,908000
Yaletown,Condo,2,1,451,0,1940,85,0,1,0,0.5,82,49.2653,-123.1115,606000
Mount Pleasant,Condo,2,1,1140,0,2005,20,0,0,0,4.5,77,49.2645,-123.0995,721000
Dunbar,Condo,1,1,1189,0,1999,26,0,0,0,9.1,47,49.2535,-123.1866,795000
Killarney,Condo,2,1,1400,0,2009,16,0,0,1,11.4,36,49.2249,-123.0521,614000
Mount Pleasant,Condo,2,1,463,0,1962,63,1,0,1,4.0,63,49.2637,-123.095,654000
Point Grey,House,3,2,3372,4416,2015,10,1,1,0,7.8,51,49.2748,-123.1903,2432000
West End,Townhouse,3,1,1881,2443,1946,79,1,0,0,0.5,77,49.2885,-123.1351,1251000
Shaughnessy,House,5,3,3536,4924,1962,63,1,1,0,4.9,79,49.2507,-123.1309,2716000
Gastown,House,5,3,2911,3282,1966,59,1,1,1,0.8,82,49.2832,-123.1043,1792000
Hastings-Sunrise,House,4,2,2672,4153,1999,26,0,1,0,7.1,69,49.2799,-123.0486,1426000
Oakridge,Condo,1,1,888,0,1929,96,0,0,0,6.2,61,49.2219,-123.1194,651000
Sunset,Condo,2,1,998,0,1973,52,1,0,1,9.2,46,49.2244,-123.1018,473000
West End,House,4,3,3991,5266,1934,91,1,1,0,2.4,86,49.2923,-123.1315,2055000
Riley Park,House,5,2,4261,5400,2024,1,1,1,1,7.4,54,49.2525,-123.1013,2069000
Sunset,House,3,2,2352,4128,1926,99,0,1,0,9.5,40,49.2255,-123.0919,1254000
Strathcona,Townhouse,3,1,1976,2694,1959,66,0,0,1,3.5,87,49.2755,-123.0887,578000
Kitsilano,House,4,2,2539,5542,1961,64,0,0,0,3.9,64,49.2708,-123.1782,1798000
West End,House,5,2,3077,6721,1989,36,1,1,0,2.6,64,49.2835,-123.1389,1933000
Renfrew,House,3,2,3567,3490,1972,53,0,1,0,10.4,30,49.2462,-123.0478,1190000
Coal Harbour,Condo,1,1,856,0,1971,54,1,0,0,1.4,84,49.2902,-123.1175,884000
Sunset,House,5,3,3697,5344,2017,8,1,1,0,11.4,37,49.2255,-123.097,1223000
Riley Park,Townhouse,2,2,1965,1724,1970,55,0,0,0,6.9,49,49.2446,-123.1054,880000
Gastown,Condo,2,1,805,0,1973,52,0,0,0,2.3,66,49.2711,-123.107,581000
Kitsilano,Condo,2,1,769,0,1979,46,0,0,1,3.6,76,49.2655,-123.1795,727000
Shaughnessy,Condo,2,1,757,0,1924,101,1,0,1,5.4,62,49.2365,-123.1387,829000
Dunbar,House,5,3,2083,4034,2024,1,1,1,0,8.8,37,49.2517,-123.1885,2052000
Grandview,Condo,1,1,734,0,2007,18,0,0,0,5.8,58,49.273,-123.0779,533000
Shaughnessy,House,4,2,2664,5217,1964,61,0,0,0,4.9,77,49.2413,-123.1424,2411000
Marpole,House,3,3,3256,6828,1990,35,0,1,0,9.0,41,49.207,-123.1382,1556000
Kitsilano,House,3,2,1965,4403,1993,32,1,0,0,5.0,62,49.2674,-123.163,1645000
Yaletown,Condo,1,1,860,0,1940,85,0,0,0,0.5,69,49.2728,-123.1268,640000
Hastings-Sunrise,House,3,2,3612,6175,2022,3,1,1,0,7.8,41,49.2782,-123.0482,1666000
Killarney,Condo,1,1,1339,0,1949,76,0,0,1,13.7,30,49.2221,-123.0459,460000
Shaughnessy,Condo,2,1,456,0,1987,38,0,0,1,6.7,58,49.2428,-123.1318,914000
Yaletown,House,3,2,1995,4965,2013,12,1,1,0,0.6,88,49.2716,-123.1261,2050000
Killarney,House,4,2,2700,3093,1936,89,1,0,0,12.5,44,49.2291,-123.046,1103000
Marpole,Condo,1,1,881,0,1984,41,0,0,0,8.1,49,49.1999,-123.1348,471000
Shaughnessy,House,3,3,3004,7555,1920,105,1,0,0,6.8,73,49.2442,-123.1368,2519000
Strathcona,House,4,3,3612,4417,1938,87,1,1,0,3.0,78,49.2792,-123.0803,1385000
Sunset,Condo,1,1,853,0,1943,82,0,0,1,9.9,30,49.2187,-123.0926,474000
Riley Park,Condo,2,1,586,0,1997,28,1,0,0,5.4,61,49.2439,-123.0989,604000
Sunset,Condo,1,1,1039,0,2001,24,0,0,1,8.0,38,49.2221,-123.0942,484000
Hastings-Sunrise,Condo,1,1,651,0,1939,86,0,0,0,6.8,68,49.29,-123.0491,367000
West End,Condo,1,1,1369,0,1931,94,1,0,1,0.6,82,49.2852,-123.13,820000
Grandview,Townhouse,3,2,1263,1672,1956,69,0,0,0,4.4,72,49.2841,-123.0697,698000
Point Grey,Condo,2,1,1199,0,2016,9,0,0,0,9.6,33,49.2616,-123.1907,1038000
Gastown,Townhouse,3,2,1000,1417,1932,93,0,0,0,0.5,82,49.2881,-123.0904,836000
Killarney,Townhouse,2,1,1653,2546,1983,42,1,0,0,13.2,30,49.2196,-123.0482,666000
Point Grey,Condo,2,1,990,0,1945,80,0,0,1,10.6,39,49.2632,-123.2001,753000
Coal Harbour,House,4,2,3645,4694,2013,12,0,1,0,0.5,78,49.2998,-123.1232,3377000
Kerrisdale,Condo,1,1,927,0,2015,10,0,0,1,9.1,30,49.2353,-123.159,824000
Riley Park,House,5,3,4225,4409,1933,92,0,1,1,6.2,55,49.2419,-123.0972,1646000
Kitsilano,House,3,2,3830,4711,2012,13,1,1,0,3.8,65,49.2589,-123.1746,2366000
Coal Harbour,Townhouse,2,2,1653,1214,1937,88,0,1,0,0.6,93,49.2915,-123.126,1395000
Mount Pleasant,Condo,1,1,979,0,1937,88,0,0,1,4.1,65,49.2626,-123.1011,808000
West End,House,4,2,2091,7177,1965,60,1,1,0,1.2,96,49.2794,-123.1275,1564000
Kerrisdale,Condo,2,1,859,0,2014,11,1,0,0,7.8,34,49.2233,-123.1628,895000
Dunbar,Condo,1,1,923,0,2022,3,0,0,1,9.8,41,49.2444,-123.1893,901000
Dunbar,Townhouse,2,2,2037,2331,1960,65,1,0,1,10.7,48,49.2512,-123.182,1280000
Coal Harbour,Condo,2,1,650,0,1942,83,0,0,0,1.4,78,49.2888,-123.1249,839000
Killarney,House,3,3,2089,5311,1979,46,1,1,0,11.9,30,49.2164,-123.0428,1092000
Mount Pleasant,Condo,1,1,584,0,2006,19,0,0,0,4.3,71,49.2653,-123.098,590000
Fairview,Condo,2,1,1270,0,1987,38,0,0,1,0.6,99,49.27,-123.1337,728000
Yaletown,Condo,1,1,1098,0,1999,26,0,0,0,2.2,85,49.2747,-123.1111,857000
Kerrisdale,House,5,3,2941,4480,1995,30,0,0,0,6.4,53,49.2372,-123.1538,2194000
Coal Harbour,Condo,1,1,654,0,1988,37,0,0,0,0.8,84,49.2915,-123.1245,823000
Sunset,Townhouse,3,1,1317,2770,2017,8,0,0,0,9.1,30,49.2185,-123.085,661000
Fairview,House,4,2,4051,6512,1931,94,1,1,1,0.9,81,49.2707,-123.1387,2228000
Dunbar,Townhouse,3,2,1396,2711,1959,66,0,0,0,9.0,39,49.2511,-123.1844,996000
Point Grey,Condo,1,1,793,0,1966,59,0,0,1,9.4,35,49.2709,-123.1977,787000
Mount Pleasant,Townhouse,2,1,1336,1808,2015,10,0,0,0,4.6,73,49.2637,-123.099,1044000
Sunset,Condo,2,1,1156,0,2004,21,0,0,1,9.3,42,49.2299,-123.0902,566000
Kerrisdale,House,5,3,3538,6998,1989,36,1,0,0,8.3,68,49.2231,-123.1582,2707000
Point Grey,Condo,2,1,1400,0,1964,61,0,0,0,8.2,62,49.2756,-123.1982,1045000
Oakridge,House,4,3,4486,4614,1948,77,1,0,0,7.2,50,49.2282,-123.1234,2028000
Gastown,Condo,1,1,782,0,1953,72,1,0,1,1.7,94,49.287,-123.109,687000
Strathcona,Townhouse,3,2,1594,1698,1991,34,1,0,1,1.9,78,49.2749,-123.0905,769000
Sunset,Townhouse,2,2,1481,2409,1928,97,0,0,1,8.7,52,49.2226,-123.0888,793000
Oakridge,Townhouse,3,1,1256,2461,2005,20,0,0,0,6.2,56,49.2282,-123.128,1031000
Sunset,House,4,2,3511,4962,1996,29,1,0,0,11.3,40,49.2302,-123.0955,1329000
Hastings-Sunrise,House,5,3,3404,4693,1946,79,1,1,0,5.7,70,49.2853,-123.0441,1628000
Oakridge,House,4,2,2918,6584,1948,77,0,1,1,7.7,55,49.2253,-123.1234,1803000
Shaughnessy,Condo,2,1,1198,0,2002,23,1,0,1,6.3,50,49.2534,-123.1356,1037000
Oakridge,Condo,1,1,933,0,1936,89,1,0,0,6.6,57,49.2295,-123.1106,674000
Riley Park,Condo,1,1,940,0,1965,60,0,0,0,4.4,77,49.2442,-123.1038,607000
Riley Park,House,3,2,2599,3320,1981,44,1,1,0,4.7,62,49.2399,-123.1084,1426000
Renfrew,Condo,2,1,707,0,1975,50,0,0,0,10.1,44,49.2535,-123.043,369000
Kerrisdale,House,3,3,2637,4688,2023,2,1,1,0,9.2,34,49.24,-123.1601,2304000
Coal Harbour,Condo,2,1,1233,0,1978,47,0,0,1,0.5,90,49.2952,-123.1247,1199000
Kitsilano,House,3,3,4500,3898,1968,57,1,1,0,6.1,58,49.265,-123.1644,2139000
Hastings-Sunrise,Condo,2,1,1151,0,2023,2,0,0,1,7.1,48,49.2791,-123.0405,715000
Grandview,House,3,2,3688,3235,1926,99,0,1,0,6.7,61,49.2711,-123.0628,1486000
Grandview,House,5,3,2341,7207,1982,43,1,1,0,4.8,67,49.2752,-123.0771,1453000
Killarney,Townhouse,3,1,1368,2276,1935,90,1,0,1,12.8,30,49.2299,-123.0347,572000
Killarney,Townhouse,3,2,1778,1723,2000,25,1,0,0,11.9,30,49.2139,-123.0492,693000
Oakridge,House,4,3,3174,5813,1972,53,1,0,0,6.4,54,49.223,-123.119,1607000
Hastings-Sunrise,Condo,1,1,977,0,1955,70,0,0,0,6.1,59,49.2783,-123.0548,478000
Gastown,House,3,2,3726,6227,1926,99,0,1,1,0.5,84,49.2891,-123.1057,1842000
Kerrisdale,House,5,2,4500,4480,1988,37,1,0,0,8.6,36,49.2327,-123.1599,2463000
Gastown,Condo,2,1,1074,0,1934,91,1,0,1,1.2,85,49.279,-123.1077,665000
Grandview,Condo,1,1,1092,0,2017,8,0,0,1,3.9,75,49.2723,-123.0689,641000
Marpole,Townhouse,3,2,1904,1953,1994,31,0,0,1,8.3,38,49.2046,-123.1355,885000
Riley Park,House,5,2,3561,3578,1986,39,1,1,0,5.8,66,49.2443,-123.1109,1583000
Strathcona,Condo,1,1,992,0,1931,94,0,0,1,4.6,73,49.2846,-123.0871,432000
Strathcona,Townhouse,2,2,1794,1834,1937,88,1,0,1,2.4,77,49.2767,-123.0927,763000
Dunbar,Condo,2,1,766,0,1925,100,0,0,1,11.4,32,49.2429,-123.1907,562000
Marpole,Townhouse,3,1,1401,2082,1960,65,0,0,0,9.4,48,49.2058,-123.1249,638000
Renfrew,Townhouse,3,1,1288,1497,1943,82,1,0,1,11.0,46,49.2441,-123.0483,600000
Oakridge,Condo,1,1,894,0,1938,87,0,0,1,6.0,58,49.2323,-123.1159,681000
Kerrisdale,Condo,1,1,767,0,1942,83,0,0,0,8.8,65,49.2298,-123.1605,736000
Gastown,Townhouse,3,2,1743,1872,1972,53,1,0,0,1.3,70,49.2884,-123.1123,1032000
Marpole,Condo,1,1,1154,0,2002,23,0,0,0,9.4,30,49.2112,-123.1347,428000
Yaletown,Condo,1,1,819,0,1933,92,0,0,0,1.0,77,49.2795,-123.1229,652000
Grandview,House,5,2,3889,4034,1970,55,1,0,0,4.4,72,49.2785,-123.0746,1724000
Renfrew,Townhouse,3,2,1599,1453,2005,20,0,0,1,11.1,32,49.2485,-123.0474,520000
Dunbar,Condo,2,1,873,0,1969,56,0,0,1,10.9,40,49.2438,-123.1859,614000
Dunbar,House,5,2,4157,6731,1937,88,0,1,0,9.2,55,49.2424,-123.1985,2130000
Point Grey,Condo,2,1,768,0,1996,29,0,0,0,9.6,51,49.2673,-123.1998,789000
Sunset,House,3,2,3374,7626,1928,97,0,0,0,7.7,56,49.2257,-123.0953,1204000
Renfrew,House,3,2,3394,5572,1933,92,0,1,0,12.0,30,49.2539,-123.0422,1025000
Strathcona,Townhouse,3,1,1603,1236,1928,97,0,0,1,1.9,95,49.2738,-123.089,678000
Kitsilano,Townhouse,3,2,1715,2207,1993,32,0,0,0,4.8,64,49.2668,-123.1704,1169000
West End,Condo,2,1,925,0,2019,6,0,0,0,1.1,86,49.2766,-123.1271,773000
Kitsilano,Condo,2,1,1124,0,1924,101,0,0,1,4.7,64,49.2721,-123.165,827000
Sunset,Townhouse,3,2,1760,2621,2000,25,1,0,1,10.0,53,49.2228,-123.0865,854000
Marpole,House,3,2,3760,6327,2009,16,1,1,0,6.6,52,49.2024,-123.1284,1550000
Mount Pleasant,House,5,2,4105,6672,1949,76,1,1,0,3.6,77,49.2594,-123.0985,2095000
Point Grey,Condo,2,1,1110,0,1996,29,0,0,0,9.3,35,49.2701,-123.1994,890000
Coal Harbour,Townhouse,2,2,1940,1866,1942,83,0,0,0,3.0,80,49.2896,-123.1248,1355000
Shaughnessy,Condo,2,1,833,0,2016,9,0,0,1,5.8,55,49.253,-123.1385,1019000
Yaletown,Townhouse,3,1,1554,1442,1953,72,0,0,0,0.5,79,49.2706,-123.1236,1270000
Killarney,Condo,2,1,1106,0,1971,54,0,0,0,14.0,30,49.219,-123.0431,397000
Oakridge,House,5,3,3089,3931,1954,71,1,1,0,5.8,62,49.2225,-123.1084,1764000
Grandview,Townhouse,3,1,1241,1260,1965,60,1,0,0,4.2,76,49.2738,-123.0689,770000
Strathcona,Condo,1,1,790,0,1955,70,1,0,0,2.1,77,49.2772,-123.0842,436000
Dunbar,Townhouse,2,2,1691,1798,1930,95,0,0,0,9.5,46,49.2562,-123.184,1051000
Yaletown,Townhouse,3,1,1393,2842,2006,19,0,0,1,1.5,86,49.2771,-123.1202,1318000
Sunset,Townhouse,2,2,1328,2859,1984,41,1,0,0,9.2,33,49.2275,-123.0924,734000
West End,Condo,2,1,450,0,1973,52,0,0,1,0.5,88,49.2833,-123.1361,599000
Marpole,House,3,3,3808,7681,1956,69,1,1,1,8.7,47,49.2165,-123.1197,1463000
Shaughnessy,Townhouse,3,2,2191,2094,1933,92,0,1,0,6.5,46,49.2421,-123.1479,1687000
Oakridge,Townhouse,2,2,1329,1683,2001,24,0,0,0,5.5,72,49.2224,-123.1222,908000
Fairview,Condo,2,1,800,0,1938,87,1,1,0,2.0,86,49.2656,-123.1281,679000
Gastown,House,4,2,3878,3076,1932,93,1,0,1,2.5,70,49.2821,-123.1087,2134000
Dunbar,House,3,3,3500,3325,1926,99,1,1,0,10.3,51,49.2524,-123.1837,1772000
Killarney,Condo,2,1,903,0,1967,58,1,0,0,11.5,30,49.2356,-123.0401,413000
Riley Park,Condo,2,1,494,0,1983,42,0,0,1,4.9,64,49.2494,-123.1031,477000
Shaughnessy,Townhouse,3,1,2023,2422,1958,67,0,0,0,6.6,49,49.2366,-123.1386,1400000
Point Grey,Condo,2,1,863,0,1962,63,0,0,0,9.0,51,49.2593,-123.1977,756000
Sunset,Condo,1,1,1239,0,2004,21,0,0,0,9.9,30,49.2178,-123.0869,479000
Hastings-Sunrise,Condo,2,1,814,0,1969,56,1,0,0,9.0,51,49.2881,-123.0446,459000
Marpole,House,3,3,2958,4824,1948,77,1,1,0,8.6,38,49.209,-123.1277,1360000
Fairview,House,4,2,3595,3058,1975,50,0,1,1,2.6,69,49.2732,-123.1284,1900000
Renfrew,Townhouse,2,2,1000,1758,1981,44,0,0,0,9.3,43,49.2525,-123.0456,653000
Grandview,Townhouse,2,2,1021,1874,2000,25,0,0,0,3.7,65,49.2756,-123.0684,774000
Renfrew,Condo,1,1,1195,0,1985,40,0,0,0,8.8,42,49.256,-123.0399,429000
Kerrisdale,Condo,2,1,1133,0,2001,24,1,1,0,7.6,38,49.236,-123.1568,880000
Mount Pleasant,Condo,1,1,709,0,1973,52,0,0,0,4.6,70,49.2661,-123.1086,469000
Marpole,House,4,2,3465,4250,1925,100,0,1,0,8.1,59,49.227,-123.1331,1399000
Kitsilano,Condo,1,1,883,0,1944,81,1,0,0,7.2,56,49.2656,-123.1624,634000
Coal Harbour,Townhouse,2,2,1616,1529,1922,103,0,0,1,1.6,87,49.287,-123.1134,1300000
Renfrew,Townhouse,2,2,1632,2363,1991,34,0,0,1,11.0,30,49.2448,-123.0387,574000
Coal Harbour,House,5,2,2349,7088,2005,20,1,1,0,2.8,80,49.29,-123.1251,2605000
Dunbar,Townhouse,3,2,1553,2206,1954,71,1,0,0,8.6,41,49.2552,-123.1909,1030000
Yaletown,House,3,3,2857,7539,1933,92,0,1,0,3.2,76,49.2749,-123.1178,2024000
Coal Harbour,Townhouse,3,2,1374,2418,1960,65,1,1,0,2.7,81,49.285,-123.128,1333000
Oakridge,House,3,3,3163,5525,1933,92,1,1,0,6.1,62,49.2256,-123.1211,1907000
Shaughnessy,Townhouse,2,1,1543,2838,1947,78,0,0,0,4.3,61,49.2391,-123.1378,1440000
Grandview,Townhouse,3,2,1651,1779,1961,64,1,0,0,5.8,52,49.2834,-123.0697,913000
Gastown,Condo,2,1,719,0,1979,46,0,0,0,2.2,74,49.2868,-123.111,622000
Grandview,Condo,1,1,764,0,1988,37,0,0,0,6.3,60,49.2789,-123.0681,564000
Renfrew,House,4,3,3039,6570,1949,76,1,0,0,11.1,30,49.2488,-123.0443,1410000
West End,Townhouse,3,1,1266,2385,1940,85,0,0,1,0.5,71,49.295,-123.1258,901000
Yaletown,House,5,2,1892,3044,2014,11,1,1,1,1.8,87,49.2777,-123.1216,2319000
Point Grey,House,4,3,2226,4124,1975,50,0,0,0,8.4,49,49.2664,-123.2001,2107000
Fairview,House,3,2,2794,7478,2022,3,1,1,0,2.6,76,49.2668,-123.1339,2606000
Dunbar,Condo,2,1,1071,0,1996,29,0,0,0,8.3,57,49.2475,-123.1846,735000
Fairview,Condo,1,1,821,0,1947,78,0,0,1,4.1,58,49.268,-123.1278,579000
Shaughnessy,Condo,1,1,946,0,1983,42,0,0,0,7.0,41,49.2474,-123.1347,858000
Fairview,Townhouse,2,1,1410,1955,1920,105,0,0,1,3.3,77,49.2656,-123.1274,975000
Yaletown,Condo,1,1,898,0,1943,82,0,0,0,1.7,98,49.2781,-123.1261,664000
Yaletown,Townhouse,2,2,1435,1225,1926,99,0,0,0,0.5,88,49.2728,-123.1252,1141000
Gastown,House,4,3,3699,3341,1985,40,1,0,0,0.5,82,49.2821,-123.111,1983000
Sunset,Condo,2,1,814,0,1966,59,0,0,1,9.3,41,49.2252,-123.0927,472000
Dunbar,House,4,3,2704,7984,1929,96,1,1,0,9.1,34,49.242,-123.1801,1957000
West End,Condo,1,1,547,0,1970,55,0,0,1,2.8,56,49.2835,-123.1334,562000
Gastown,House,5,3,2932,5132,1993,32,1,0,1,1.1,75,49.2791,-123.1019,2038000
Grandview,House,3,2,2577,6228,1956,69,1,1,0,4.3,83,49.2681,-123.0715,1482000
Point Grey,House,5,2,3675,4012,2014,11,1,1,1,9.3,54,49.2596,-123.1968,2519000
Hastings-Sunrise,Condo,1,1,453,0,1959,66,1,0,1,5.6,48,49.2794,-123.0429,381000
Coal Harbour,Condo,1,1,864,0,1999,26,0,0,0,0.6,83,49.2936,-123.1188,920000
Renfrew,Condo,1,1,698,0,1939,86,0,0,0,10.7,37,49.2467,-123.0456,411000
Coal Harbour,Condo,2,1,938,0,1935,90,0,0,0,1.7,78,49.2905,-123.1172,1054000
Grandview,House,4,3,3330,7445,1921,104,0,0,0,6.2,44,49.2763,-123.0719,1481000
Dunbar,Townhouse,3,2,1556,1394,1936,89,0,0,1,9.8,45,49.2485,-123.181,1006000
Strathcona,Condo,1,1,717,0,1963,62,0,0,1,4.2,82,49.2713,-123.0892,325000
Kerrisdale,Condo,1,1,629,0,1932,93,1,0,1,9.2,40,49.2277,-123.1543,761000
Grandview,Condo,2,1,833,0,2007,18,0,0,0,4.4,52,49.2772,-123.075,578000
West End,House,5,2,4049,4469,2001,24,1,1,1,1.2,85,49.2884,-123.1342,2222000
Strathcona,House,3,3,3518,5101,2021,4,1,1,1,2.9,81,49.2802,-123.0874,1452000
Mount Pleasant,Townhouse,3,2,2054,1759,1994,31,0,0,1,5.1,58,49.2606,-123.0957,1188000
Hastings-Sunrise,Condo,2,1,819,0,1924,101,0,0,0,7.6,49,49.2902,-123.0395,440000
Hastings-Sunrise,House,3,3,2377,7613,1971,54,1,0,1,6.4,60,49.277,-123.052,1536000
Gastown,Townhouse,2,1,1129,2642,2010,15,0,0,0,1.6,85,49.2836,-123.0998,962000
Yaletown,Condo,1,1,946,0,1938,87,0,0,0,1.8,87,49.2684,-123.1141,766000
Killarney,House,4,3,2641,7303,1948,77,0,1,0,10.5,37,49.2367,-123.052,1320000
Kitsilano,Condo,1,1,1303,0,1941,84,1,0,0,5.1,58,49.2652,-123.1698,792000
Fairview,Condo,1,1,901,0,1998,27,1,0,0,0.8,94,49.2653,-123.1341,736000
Dunbar,Condo,2,1,1049,0,2014,11,1,0,0,8.6,48,49.244,-123.1906,846000
Grandview,House,5,3,3103,5655,1955,70,1,0,1,5.0,67,49.2698,-123.0803,1278000
Gastown,Townhouse,2,2,1823,2534,1995,30,1,0,0,2.2,88,49.2857,-123.1041,964000
Dunbar,House,4,2,4058,3520,1986,39,1,1,0,8.6,30,49.2429,-123.1884,2486000
Riley Park,Condo,2,1,835,0,2019,6,0,0,0,7.5,63,49.2441,-123.0973,662000
Kitsilano,Townhouse,3,1,1955,2213,1939,86,0,0,0,4.5,77,49.2629,-123.1663,1086000
Fairview,Condo,2,1,1071,0,1935,90,0,0,0,3.3,69,49.2703,-123.1231,752000
Point Grey,Condo,2,1,1042,0,1959,66,0,0,1,9.2,45,49.2751,-123.2062,860000
Riley Park,Condo,2,1,513,0,1930,95,0,0,1,7.1,58,49.2459,-123.0953,515000
Gastown,Condo,1,1,987,0,2005,20,0,0,0,0.5,83,49.2771,-123.1057,666000
Shaughnessy,Townhouse,2,1,1811,1608,1996,29,0,0,0,5.8,60,49.2403,-123.1387,1423000
Point Grey,Townhouse,3,2,1445,1302,1967,58,0,0,0,9.4,41,49.267,-123.1993,1118000
Gastown,House,4,2,2295,4491,1984,41,1,0,1,2.7,100,49.2825,-123.1027,1935000
Kerrisdale,House,4,2,1960,6341,1996,29,0,1,0,9.5,50,49.2417,-123.1539,1884000
Grandview,Townhouse,2,1,1848,1694,1927,98,0,0,0,4.9,69,49.2697,-123.0669,808000
Point Grey,House,5,2,3239,3568,1946,79,1,1,0,7.7,56,49.2616,-123.2041,2464000
Killarney,Townhouse,2,2,1448,2302,1941,84,0,0,1,13.0,30,49.2294,-123.0475,632000
Yaletown,Condo,1,1,731,0,2019,6,0,0,1,0.7,89,49.2583,-123.117,768000
Hastings-Sunrise,House,3,3,3738,3653,2010,15,0,0,0,7.9,49,49.2761,-123.0447,1478000
Oakridge,House,4,2,3742,7618,2016,9,1,1,1,5.4,65,49.2178,-123.1258,2329000
Gastown,Condo,2,1,845,0,1920,105,1,0,0,2.0,92,49.2915,-123.1133,689000
Shaughnessy,Townhouse,2,1,1553,1849,1923,102,0,0,1,5.7,56,49.2467,-123.1402,1545000
Riley Park,House,4,3,3388,7342,1985,40,1,0,0,6.5,48,49.241,-123.1021,1859000
Dunbar,Condo,1,1,894,0,1995,30,0,0,0,9.4,35,49.2444,-123.1824,725000
Marpole,Townhouse,2,2,1959,1296,1934,91,0,0,0,8.4,30,49.2099,-123.1339,729000
Oakridge,House,3,2,3466,4878,1931,94,1,0,1,6.3,58,49.2238,-123.1126,2028000
Kitsilano,Condo,1,1,922,0,1979,46,0,0,1,5.4,63,49.2671,-123.1632,763000
Point Grey,Townhouse,2,2,1720,1603,1986,39,0,0,0,6.8,67,49.2718,-123.2019,1302000
Hastings-Sunrise,Condo,1,1,450,0,1933,92,1,0,1,7.6,50,49.2736,-123.0382,404000
Grandview,Condo,1,1,680,0,1967,58,0,0,1,5.8,62,49.2727,-123.0769,527000
Grandview,Condo,2,1,695,0,1955,70,0,0,0,5.4,60,49.2697,-123.0784,451000
Marpole,Townhouse,3,1,1485,1825,1949,76,1,0,1,9.0,47,49.2138,-123.1392,806000
Oakridge,Townhouse,3,1,2200,1206,1985,40,0,0,0,6.6,45,49.2282,-123.1217,1249000
Grandview,Condo,1,1,953,0,1981,44,1,0,0,4.4,65,49.2879,-123.0691,529000
Dunbar,House,4,2,1887,6064,1924,101,0,1,0,9.0,49,49.2519,-123.182,1662000
Fairview,Condo,2,1,895,0,2015,10,0,0,1,0.7,84,49.2609,-123.125,874000
Kerrisdale,Condo,1,1,984,0,1977,48,0,0,0,8.1,35,49.2404,-123.1763,808000
Yaletown,Condo,1,1,1256,0,1971,54,0,0,0,2.2,83,49.2729,-123.131,821000
West End,Townhouse,3,1,1270,1587,1974,51,0,0,1,1.5,83,49.2874,-123.1299,969000
Sunset,House,5,3,3694,4194,2020,5,0,1,1,8.8,44,49.231,-123.0961,1689000
Gastown,Townhouse,2,2,1737,2231,1929,96,0,0,1,2.4,83,49.2843,-123.1056,971000
Renfrew,Condo,2,1,1271,0,1957,68,0,0,1,8.5,47,49.2517,-123.0444,558000
Hastings-Sunrise,Condo,2,1,690,0,2002,23,0,0,1,5.9,62,49.2737,-123.0486,525000
Riley Park,Condo,2,1,1213,0,1964,61,1,0,0,6.4,46,49.2347,-123.0966,545000
Mount Pleasant,Townhouse,2,1,1345,2663,2021,4,1,0,1,4.9,55,49.2693,-123.0991,1185000
Killarney,House,5,2,3677,7506,2013,12,1,1,0,12.8,41,49.2196,-123.0527,1566000
Dunbar,Townhouse,2,1,1917,1411,1933,92,0,0,1,9.7,34,49.2569,-123.1865,1141000
Riley Park,House,3,3,4500,5847,1982,43,1,0,0,5.6,57,49.231,-123.1025,1778000
Strathcona,Condo,2,1,1069,0,1944,81,0,0,1,3.0,60,49.2784,-123.092,455000
Marpole,Condo,1,1,812,0,1984,41,0,0,1,7.3,53,49.2127,-123.1244,513000
Point Grey,Condo,2,1,857,0,1967,58,1,0,1,8.2,38,49.2712,-123.195,850000
West End,Townhouse,2,2,1103,2354,1936,89,0,0,0,3.4,85,49.287,-123.1365,878000
Dunbar,Townhouse,3,2,1876,2812,1957,68,1,0,1,8.2,45,49.2495,-123.1951,1221000
Gastown,Condo,1,1,735,0,1971,54,0,0,0,2.2,74,49.2855,-123.1089,580000
